Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Warm Female,-0.000748996,0.008657211,0.999251285,0.982438896,1.016351,0.19614155,0.09868535,1.019807776,1.000271863,1.039725,-0.001373678,0.001016531,0.982570602,0.957829197,1.007951,-0.000257143,0.001204419,0.998329969,0.983128219,1.013767
Warm Male,0.030384132,0.00932085,1.030850441,1.012188953,1.049856,0.2031635,0.1070063,1.020524132,0.999343331,1.042154,0.001719934,0.001090048,1.022259277,0.994682221,1.050601,0.004926289,0.001290326,1.032539064,1.015704163,1.049653
Cold All,0.016586281,0.007563629,1.016724597,1.001763121,1.031910,-0.01964345,0.052541,0.998037583,0.987812496,1.008369,-0.002046465,0.00094256,0.974145351,0.951380022,0.997455,0.001915166,0.000843374,1.012526382,1.001705448,1.023464
Cold Female,0.017997812,0.009588606,1.018160749,0.999204461,1.037477,0.01087644,0.06665443,1.001088236,0.98809481,1.014253,-0.003982172,0.001204997,0.950305465,0.922006721,0.979473,0.00264061,0.001065686,1.017312112,1.003593567,1.031218
Cold Male,0.01473181,0.01110414,1.014840858,0.992992364,1.037170,-0.05889081,0.07701468,0.994128226,0.979234673,1.009248,0.000374317,0.001367561,1.004802749,0.970913289,1.039875,0.000966715,0.001243246,1.006303433,0.9904902,1.022369
Age 0-10 All,0.00081802,0.027811744,1.000818354,0.947723014,1.056888,-0.1024417,0.2406271,0.989808123,0.944209621,1.037609,0.001752051,0.003282361,1.022679612,0.941838352,1.110460,0.003137584,0.003468,1.020603681,0.976492681,1.066707
Age 0-10 Female,-0.04788206,0.03791497,0.953246206,0.884975426,1.026784,-0.2339186,0.323418,0.976879609,0.916877147,1.040809,-0.004924139,0.004538573,0.938916264,0.837869684,1.052149,0.000526377,0.00471646,1.003427307,0.944909376,1.065569
Age 0-10 Male,0.0411272,0.03651478,1.041984638,0.970016916,1.119292,0.01920301,0.31899315,1.001922146,0.941197427,1.066565,0.006597493,0.004255829,1.088116163,0.977924972,1.210724,0.005487026,0.004555849,1.036309318,0.977872635,1.098238
Age 11-60 All,0.02406014,0.01016431,1.024351921,1.004146666,1.044964,0.09459095,0.08871057,1.009503974,0.992103168,1.027210,-0.000102626,0.001212817,0.99868725,0.968757685,1.029541,0.003389192,0.001267237,1.022274195,1.0059025,1.038912
Age 11-60 Female,0.02162155,0.01313642,1.02185699,0.995882666,1.048509,0.1356869,0.1142716,1.013661162,0.991210314,1.036621,-0.000591399,0.001570587,0.992458675,0.954113357,1.032345,0.002828419,0.001636247,1.018554763,0.997541963,1.040010
Age 11-60 Male,0.02797959,0.01563211,1.028374695,0.997344187,1.060371,0.03752647,0.13697358,1.003759697,0.977170455,1.031072,0.000526358,0.001858833,1.006760133,0.960888395,1.054822,0.004265069,0.001952291,1.028110805,1.002854828,1.054003
Age 60+All,0.006888934,0.009487873,1.006912717,0.988360967,1.025813,0.0289831,0.08266139,1.002902514,0.986784776,1.019284,-0.001553529,0.001145565,0.980311235,0.952538164,1.008894,0.000471148,0.001182118,1.003067158,0.988073968,1.018288
Age 60+ Female,-0.000631234,0.012352542,0.999368966,0.975463813,1.023860,0.04660121,0.10768274,1.004670996,0.983688796,1.026101,-0.00362569,0.001500719,0.95465159,0.919377131,0.991279,5.74911E-05,0.001537781,1.000373762,0.980965844,1.020166
Age 60+ Male,0.0164503,0.01364934,1.016586351,0.989750482,1.044150,0.0102963,0.118813,1.00103016,0.977988157,1.024615,0.000934914,0.001634412,1.012038794,0.97138031,1.054399,0.001013322,0.001702266,1.006608332,0.985013162,1.028677
All: LAG 3,0.002959189,0.006978769,1.002963572,0.989338048,1.016777,-0.000251099,0.060655435,0.99997489,0.98815711,1.011934,-0.000963312,0.000836167,0.987745315,0.967240468,1.008685,0.00110054,0.000874115,1.007179155,0.996025208,1.018458
Female,-0.00232119,0.009059528,0.997681502,0.980122353,1.015555,0.01985175,0.07857087,1.001987147,0.986674861,1.017537,-0.002638181,0.001086857,0.966795082,0.940789573,0.993519,0.001437246,0.001131174,1.009385873,0.994943768,1.024038
Male,0.009683409,0.010029992,1.009730445,0.990074214,1.029777,-0.02643836,0.08740768,0.997359656,0.980418516,1.014594,0.001154583,0.001198968,1.014888407,0.984815419,1.045880,0.000666879,0.001261477,1.004344123,0.9883321,1.020616
Warm All,-0.001500158,0.006611273,0.998500967,0.985645766,1.011524,-0.02231796,0.07626258,0.997770693,0.98296746,1.012797,0.000427981,0.000773591,1.005493194,0.986166873,1.025198,0.001114131,0.000927381,1.007268134,0.995437451,1.019239
Warm Female,-0.012197594,0.008733511,0.987876495,0.971110249,1.004932,-0.1150389,0.1004907,0.988562027,0.969281632,1.008226,-0.000592305,0.001022018,0.992447169,0.967323906,1.018223,0.000363191,0.001221645,1.002363531,0.986883766,1.018086
Warm Male,0.012287782,0.009348074,1.012363587,0.993983728,1.031083,0.09748569,0.10819736,1.009796241,0.988607281,1.031439,0.001733847,0.001093636,1.022441344,0.994769827,1.050883,0.002122809,0.00131698,1.013893894,0.997024369,1.031049
Cold All,0.007608901,0.007506015,1.007637922,0.992922277,1.022572,0.002007678,0.051794234,1.000200788,0.990098444,1.010406,-0.002693094,0.000937213,0.96611578,0.943664684,0.989101,0.001148549,0.000836119,1.007493506,0.99681848,1.018283
Cold Female,0.01031575,0.00957027,1.010369141,0.991593554,1.029500,0.06588223,0.06583395,1.006609973,0.993704668,1.019683,-0.005091429,0.00120008,0.936907903,0.909120256,0.965545,0.002370934,0.001062053,1.015530434,1.001882285,1.029365
