Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 60+ Female,0.020359717,0.009512407,1.02056839,1.001716871,1.039775,0.11411427,0.08383936,1.011476786,0.994991497,1.028235,-0.000192977,0.001151349,0.997532944,0.96913132,1.026767,0.002114506,0.001187374,1.013839176,0.9986181,1.029292
Age 60+ Male,0.008926614,0.010500359,1.008966575,0.988413556,1.029947,0.04982796,0.09213627,1.004995231,0.987009205,1.023309,-0.001413599,0.001267879,0.982068648,0.951322064,1.013809,0.002185227,0.001315563,1.014305331,0.997446967,1.031449
All: LAG2,0.011421421,0.005511301,1.011486894,1.000619463,1.022472,0.06368757,0.04823457,1.006389081,0.996919536,1.015949,0.000412365,0.000661477,1.005292221,0.988746929,1.022114,0.001478628,0.000689391,1.009657418,1.00082859,1.018564
Female,0.009430308,0.00744694,1.009474913,0.994847625,1.024317,0.05340231,0.06497438,1.005354515,0.992632526,1.018240,0.000118295,0.000891287,1.001515327,0.979369364,1.024162,0.001386255,0.000933491,1.009051373,0.997122134,1.021123
Male,0.013595924,0.007666085,1.013688769,0.998571419,1.029035,0.0748621,0.06731026,1.007514302,0.994309651,1.020894,0.00073701,0.000922509,1.00947837,0.986383375,1.033114,0.00158219,0.000956757,1.010337296,0.998096964,1.022728
Warm All,0.011813726,0.005153625,1.011883784,1.001714088,1.022157,0.14842939,0.05922159,1.014953642,1.003240747,1.026803,0.000624881,0.000605231,1.008030553,0.992840201,1.023453,0.00215406,0.000717636,1.014099867,1.004870532,1.023414
Warm Female,0.002653447,0.00693012,1.002656971,0.989129923,1.016369,0.10769332,0.07918675,1.01082753,0.995259998,1.026639,0.000317935,0.000811441,1.004077855,0.983844051,1.024728,0.001319258,0.000969218,1.008612048,0.996234453,1.021143
Warm Male,0.021853142,0.007298063,1.022093671,1.007577504,1.036819,0.19372838,0.08446383,1.019561709,1.002821901,1.036581,0.000973037,0.000860063,1.012532755,0.990919082,1.034618,0.003057219,0.001012299,1.020070685,1.006999618,1.033311
Cold All,0.011986243,0.006036147,1.012058366,1.000155407,1.024103,0.02241956,0.04184405,1.002244471,0.994058245,1.010498,0.000158986,0.000750197,1.002037092,0.983354178,1.021075,0.001053566,0.000673525,1.006871679,0.99826897,1.015549
Cold Female,0.020425526,0.008185658,1.020635555,1.00439125,1.037143,0.02155632,0.05669339,1.002157957,0.991083715,1.013356,8.42586E-05,0.001015684,1.001079091,0.975892375,1.026916,0.001721948,0.000914138,1.011255537,0.999546648,1.023102
Cold Male,0.002616719,0.008243398,1.002620146,0.986550917,1.018951,0.02299868,0.05717611,1.002302515,0.991132897,1.013598,0.000227348,0.001025775,1.002914286,0.977433918,1.029059,0.000312293,0.000918733,1.002031968,0.990371894,1.013829
Age 0-10 All,0.009467132,0.032286399,1.009512087,0.947608146,1.075460,0.2085943,0.2682163,1.021078509,0.968786555,1.076193,-0.006963126,0.003859646,0.914728469,0.830307793,1.007733,0.002285521,0.004022535,1.014966784,0.964262991,1.068337
Age 0-10 Female,-0.02627538,0.04144903,0.974066814,0.898062621,1.056503,0.1311376,0.3456102,1.013200122,0.946839352,1.084212,-0.005416124,0.004847409,0.933022104,0.826183658,1.053676,0.000125155,0.005251404,1.000813838,0.936047197,1.070062
Age 0-10 Male,0.03958899,0.04088598,1.040383078,0.960263521,1.127187,0.2611071,0.338828,1.026454581,0.960501651,1.096936,-0.008565211,0.004985908,0.896161443,0.790791323,1.015572,0.003830056,0.005011813,1.025207841,0.96179386,1.092803
Age 11-60 All,0.018210243,0.008160479,1.018377061,1.002218161,1.034796,0.16036644,0.07145207,1.016165921,1.002034104,1.030497,0.000274767,0.000976101,1.003523204,0.979246964,1.028401,0.002091116,0.001022304,1.013685049,1.000568262,1.026974
