Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 60+ Female,0.029763644,0.009112955,1.030211009,1.011973366,1.048777,0.17308039,0.08079514,1.017458691,1.001473276,1.033699,-0.002473655,0.001104631,0.968833233,0.942352598,0.996058,0.002076085,0.001132597,1.013586015,0.999065703,1.028317
Age 60+ Male,0.02421283,0.008872002,1.024508341,1.006847041,1.042479,0.08615106,0.07898286,1.008652323,0.993157979,1.024388,-0.001160338,0.001076425,0.985257425,0.95900626,1.012227,0.001040663,0.001106055,1.006787239,0.992699945,1.021074
All: LAG2,0.017342509,0.007554059,1.017493763,1.002539773,1.032671,0.05409447,0.06587439,1.005424104,0.992526136,1.018490,-0.001127957,0.000903523,0.985665881,0.96357455,1.008264,0.001425566,0.000937275,1.00930924,0.997328869,1.021434
Female,0.01434337,0.0080757,1.01444673,0.9985161,1.030632,0.06702645,0.07025567,1.006725158,0.992957449,1.020684,-0.001866449,0.000965821,0.976392568,0.953018394,1.000340,0.001165765,0.001002441,1.007606254,0.994819838,1.020557
Male,0.02069188,0.00828781,1.020907441,1.004457678,1.037627,0.03980596,0.07245753,1.003988529,0.989830978,1.018349,-0.000304562,0.000991038,0.996109198,0.971648136,1.021186,0.001716796,0.001027776,1.01122167,0.998067178,1.024550
Warm All,0.0212892,0.00638332,1.021517432,1.008816531,1.034378,3.36E-01,7.25E-02,1.034143926,1.019550965,1.048946,0.001702724,0.000732518,1.022034109,1.003423295,1.040990,0.001388022,0.00089677,1.009062966,0.997600181,1.020657
Warm Female,0.019748218,0.007008887,1.019944504,1.006028901,1.034053,3.92E-01,7.94E-02,1.039939824,1.023886497,1.056245,0.00038017,0.000806405,1.00487804,0.984752521,1.025415,0.001226453,0.00098488,1.008003806,0.995435022,1.020731
Warm Male,0.022995115,0.007164926,1.023261541,1.008992048,1.037733,0.273072821,0.081669987,1.027683543,1.01136405,1.044266,0.003165489,0.000819115,1.041350328,1.020169016,1.062971,0.00156751,0.001005935,1.010240898,0.99737665,1.023271
Cold All,0.016423395,0.008885542,1.016559,0.999008225,1.034418,-0.06161713,0.06292575,0.993857231,0.981674826,1.006191,-5.64E-03,1.12E-03,0.930338806,0.90451686,0.956898,0.002121678,0.000985499,1.013886437,1.001236417,1.026696
Cold Female,0.011995773,0.009331425,1.012068011,0.993725945,1.030749,-0.0669794,0.06602112,0.993324441,0.980553491,1.006262,-5.67E-03,1.18E-03,0.929941391,0.90289429,0.957799,0.001805434,0.001035584,1.01180445,0.998543043,1.025242
Cold Male,0.02134407,0.00960141,1.021573484,1.002528498,1.040980,-0.05552857,0.06807221,0.994462532,0.981282382,1.007820,-5.60E-03,1.21E-03,0.930794031,0.902854755,0.959598,0.002473574,0.001064248,1.016208181,1.002522889,1.030080
Age 0-10 All,0.05850825,0.03327902,1.060253733,0.99330389,1.131716,0.1601462,0.2771984,1.016143541,0.962408515,1.072879,0.001682151,0.004092302,1.021765009,0.922068153,1.132241,0.006373943,0.004042705,1.042300854,0.989977135,1.097390
Age 0-10 Female,0.01856535,0.0415846,1.018738758,0.938999374,1.105250,0.3113115,0.3464856,1.031620792,0.963888141,1.104113,-0.00623971,0.005026117,0.92323794,0.813862773,1.047312,0.002896839,0.005062477,1.019007846,0.955360518,1.086895
Age 0-10 Male,0.09756978,0.04045723,1.102488371,1.018441593,1.193471,0.0206125,0.3376806,1.002063376,0.937888556,1.070629,0.009691465,0.005071506,1.132073325,0.99682187,1.285676,0.009544909,0.00491625,1.064006935,0.999409058,1.132780
Age 11-60 All,0.012456613,0.008371192,1.01253452,0.996056871,1.029285,0.000302221,0.072838042,1.000030223,0.98585496,1.014409,-0.001143732,0.0010023,0.985466871,0.960995577,1.010561,0.000810061,0.001040318,1.005279283,0.992043566,1.018692
Age 11-60 Female,0.007827628,0.009152301,1.007858344,0.989940061,1.026101,0.001091251,0.079596152,1.000109131,0.984627659,1.015834,-0.001761642,0.001095948,0.977703311,0.951187418,1.004958,0.000565929,0.001137766,1.003685313,0.989241696,1.018340
Age 11-60 Male,0.02031274,0.01038387,1.020520448,0.999960356,1.041503,-0.001014541,0.090426392,0.999898551,0.982332899,1.017778,-0.000100187,0.001242629,0.998718426,0.968063611,1.030344,0.001223802,0.001289746,1.007986436,0.991559174,1.024686
Age 60+All,0.020435855,0.008011651,1.020646097,1.004744237,1.036800,0.09250039,0.0700103,1.009292953,0.995538005,1.023238,-0.001151823,0.000957155,0.985364813,0.961984974,1.009313,0.001811054,0.000993107,1.011841409,0.999120058,1.024725
Age 60+ Female,0.020980228,0.009156291,1.02120186,1.003038505,1.039694,0.13135133,0.07972622,1.013221778,0.997511894,1.029179,-0.001932954,0.001093667,0.975561759,0.94915826,1.002700,0.001751699,0.00113522,1.011451111,0.996928069,1.026186
Age 60+ Male,0.020010514,0.008908262,1.020212066,1.002553575,1.038182,0.06039506,0.07806907,1.006057781,0.990780729,1.021570,-0.000507689,0.001064189,0.993522654,0.967348187,1.020405,0.001864912,0.001103998,1.012195696,0.99805888,1.026533
All: LAG 3,0.008529072,0.007509327,1.008565548,0.993829905,1.023520,-0.03185898,0.06545658,0.996819172,0.984112177,1.009690,-0.000604577,0.000901036,0.992291278,0.970111969,1.014978,0.001088334,0.00093835,1.007099253,0.995131481,1.019211
Female,0.005152612,0.008019647,1.00516591,0.989489727,1.021090,-0.04955107,0.06997887,0.995057149,0.981502257,1.008799,-0.000314826,0.000963424,0.995978338,0.972193769,1.020345,0.000695844,0.001003373,1.004533231,0.991774035,1.017457
Male,0.012318061,0.008247164,1.012394241,0.996161007,1.028892,-0.0122448,0.07180017,0.998776269,0.984819096,1.012931,-0.000923358,0.000988173,0.988250584,0.964051789,1.013057,0.001526308,0.001029129,1.009970378,0.996814982,1.023299
Warm All,0.014319304,0.006354225,1.014422316,1.001866763,1.027135,0.10247251,0.07310768,1.010299934,0.995926465,1.024881,3.14E-03,7.36E-04,1.040984033,1.021927135,1.060396,0.001762697,0.000896226,1.011523419,1.000039612,1.023139
Warm Female,0.012717834,0.006976984,1.01279905,0.999043403,1.026744,0.12866937,0.08010814,1.012950072,0.997169754,1.028980,0.002800067,0.000810017,1.036490877,1.015640192,1.057770,0.001454519,0.000985229,1.009499208,0.996907355,1.022250
Warm Male,0.01611606,0.007133245,1.016246624,1.00213718,1.030555,0.07314774,0.08223874,1.007341592,0.991234623,1.023710,3.51E-03,8.26E-04,1.046002836,1.024561014,1.067893,0.002105784,0.001004685,1.0137817,1.000888303,1.026841
Cold All,0.001815363,0.008817951,1.001817012,0.984651191,1.019282,-0.09691102,0.06200296,0.990355705,0.978393163,1.002465,-6.05E-03,1.11E-03,0.925443697,0.899946935,0.951663,0.000963852,0.000980972,1.006284704,0.993786832,1.018940
Cold Female,-0.00387189,0.009231185,0.996135596,0.978274462,1.014323,-0.13268892,0.06525783,0.986818752,0.97427719,0.999522,-4.93E-03,1.17E-03,0.938786982,0.911638189,0.966744,0.000485572,0.001029105,1.003161201,0.990094798,1.016400
Cold Male,0.008333073,0.009561963,1.00836789,0.989645605,1.027444,-0.05695079,0.06682766,0.994321107,0.981382193,1.007431,-7.31E-03,1.20E-03,0.910708903,0.883631117,0.938616,0.001511123,0.001061271,1.009870697,0.996308537,1.023617
Age 0-10 All,0.06012354,0.03246785,1.061967734,0.996492719,1.131745,0.1618141,0.2719851,1.016313038,0.963553111,1.071962,0.001927855,0.004044088,1.02498353,0.92609215,1.134435,0.007056126,0.003977788,1.046932876,0.99519936,1.101356
